nodes,freq
attack_parse,91
CleanDevice,91
attack_get_opt_ip,90
move,90
updatemyshit,89
version,89
_svcauth_unix,89
huaweiscanner_scanner_kill,88
maps_scan_match,87
ahold,86
netlink_killer,86
realtekscanner_setup_connection,85
wildString,85
udp,84
std,83
realtekscanner_scanner_init,82
realtekscanner_recv_strip_null,82
disable,82
attack_start,82
stop,81
get,81
nickc,80
enable,80
advance_state,80
killsec,78
killd,78
help,78
_ZN6vectorI6stringED2Ev,76
sub_EC9C,75
realtekscanner_scanner_kill,74
sub_EDDC,74
copy_file,73
ctor_001,71
getDevice,70
getFiles,70
putc,70
xmalloc,70
realrand,70
__read_nocancel,69
fd_to_DIR,68
sub_804CD10,68
config_read,67
fixedEchoLoader,67
usage,66
sub_804D9C0,66
__initbuf,65
getRandomIP,65
hnapscanner_scanner_init,65
hnapscanner_setup_connection,65
clntudp_control,65
attack_method_std,64
hnapscanner_recv_strip_null,64
pthread_sighandler,64
__opensock,62
getRandomPublicIP4,62
getRandomPublicIP3,62
sub_F9E4,62
get_telstate_host,62
randomString,62
GucciHTTP,62
do_system,61
cancel_handler,61
gaih_inet,61
endservent,61
getservent_r,61
setservent,61
getservbyname_r,61
getaddrinfo,61
gethostbyaddr_r,61
ZeroEchoLoader,60
die,60
getservbyname,60
getservent,60
getservbyport_r,60
sub_12AD8,60
sub_E0A0,60
_NICK,60
gaih_inet_serv,59
botkill,58
__start,58
attack_method_udpplain,58
hnapscanner_scanner_kill,58
sub_DF60,58
sendHTTP3,57
sub_13450,57
inet_network,57
sendstatsforbrange,57
update,56
ensure_single_instance,56
sub_13118,56
contains_response,56
reset_telstate,56
strtoul,54
sub_ECA8,54
find_pid_by_name,54
pthread_exit,54
__pthread_do_exit,54
rewind,53
if_nametoindex,53
attack_method_udpvse,53
sub_DC74,53
sub_F460,53
if_indextoname,52
uppercase,52
sub_141D8,52
attack_method_tcpxmas,51
_ZN6vectorIN2nv7message12flat_messageEEC2ERKS3_,51
sub_11DA4,51
svcerr_noprog,51
check_exe,51
xrealloc,51
if_nameindex,50
clntudp_geterr,50
svcerr_systemerr,50
svcerr_noproc,50
svcerr_decode,50
svc_sendreply,50
pan,50
arpping,50
resolve_cnc_addr,50
bb_perror_msg,50
remove_file,50
concat_path_file,50
cp_mv_stat2,50
bb_copyfd_eof,50
bb_simplify_path,50
bb_process_escape_sequence,50
bb_make_directory,50
bb_error_msg_and_die,50
concat_subpath_file,50
recursive_action,50
cp_mv_stat,50
bb_herror_msg_and_die,50
bb_perror_msg_and_die,50
DaNkprintf,49
Qbotprintf,49
sub_D694,49
TelnetScan,49
sub_420000,49
cleandevices,48
sub_E31C,48
sub_E544,48
sub_EAB0,48
procps_scan,48
bb_parse_mode,48
run_shell,47
__GI_fgets_unlocked,47
SendSSY,47
buffer_init,46
sub_8190,46
bb_mode_string,46
INET_rresolve,46
INET_resolve,46
create_icmp_socket,46
xregcomp,46
display_interfaces,46
attack_method_tcpack,46
HackerScan4,45
__get_hosts_byaddr_r,45
wf_chspec_ntoa,45
kill_bk,45
attack_method_greip,45
attack_method_tcpsyn,45
read_packet,44
log_error_write,44
nvram_wan_primary_ifunit,44
sub_430000,44
print_login_issue,44
strtoq,44
HackerScan3,43
sub_11450,43
sub_E3D8,43
sub_D7CC,43
sub_F260,43
l0lc0k3sda,43
fake_connection_wink_wink,43
bignetreppin,43
l0ld0ngs,43
fuckfatpeople,43
d0ggyd1ckz,43
ohyesilovewilly,43
fuckinghugec0ck,43
setup_environment,43
print_login_prompt,43
correct_password,43
change_identity,43
attack_method_udpgeneric,43
attack_method_greeth,43
__GI_exit,42
open_logfile_or_pipe,42
buffer_prepare_copy,42
memory_scan_match,42
has_exe_access,42
sub_A32C,42
__xpg_strerror_r,42
sub_D6F4,41
sub_14680,41
sub_F7C4,41
proc_find,41
bcm_brev_str,41
INET6_resolve,41
INET6_rresolve,41
getopt_mk_fifo_nod,41
buffer_prepare_append,40
freeaddrinfo,40
advance_telstate,40
SendPHT,40
data_extract_all,40
open_transformer,40
seek_by_jump,40
get_header_tar_gz,40
header_verbose_list,40
get_header_tar,40
sub_8990,40
attack_method_tcpstomp,40
attack_method_udpdns,40
__GI___glibc_strerror_r,39
HackerScan6,39
sub_D5DC,39
dj28d9usad,39
SendBO2,39
sub_DFA8,39
getPorts,39
stat64,39
__GI_initstate_r,38
output,38
sub_407944,38
sub_407718,38
md5sum,38
sub_FF14,38
sub_1091C,38
psname,38
awdj218eu29duada,38
bcm_chipname,38
prhex,38
create_icmp6_socket,38
sub_4002D0,38
sub_12594,37
send_action,37
remove,37
rmdir,37
SendRAP,37
parse_args,36
sub_4077A0,36
sub_D82C,36
sub_144D4,36
sub_13C7C,36
sub_14D18,36
incomplete_command,36
get_addr32,36
invarg,36
get_addr_1,36
duparg2,36
bcm_crypto_algo_name,36
sub_1401C,36
sub_11DA0,36
sub_ECA4,36
__GI_fclose,35
infectlol,35
sub_14388,35
socket_connect2,35
httpsocket,35
sub_A9F4,35
get_prefix,35
get_addr,35
rtnl_open,35
rtnl_dsfield_n2a,35
ll_idx_n2a,35
ll_remember_index,35
rtnl_dsfield_a2n,35
ll_index_to_name,35
rtnl_dump_filter,35
rtnl_talk,35
ll_init_map,35
parse_rtattr,35
duparg,35
__get_hz,35
sub_E0E8,35
sub_CB80,35
sub_9610,35
Trim,35
sub_15A04,34
sub_13AD0,34
sub_14B6C,34
getBuilds,34
sub_E3C4,34
sub_15B78,34
send_packet,34
sub_1015C,34
rtnl_rtprot_a2n,34
rtnl_rtrealm_a2n,34
rtnl_rtscope_a2n,34
rtnl_rtscope_n2a,34
xrealloc_vector_helper,34
read_line_input,34
llist_add_to,34
bb_sanitize_stdio,34
get_signum,34
bb_daemonize_or_rexec,34
get_terminal_width_height,34
xdotted2sockaddr,34
xhost2sockaddr,34
xmalloc_readlink_or_warn,34
get_signame,34
xmalloc_sockaddr2dotted_noport,34
xatoul_range,34
xsetuid,34
add_to_ino_dev_hashtable,34
read_cmdline,34
xconnect,34
xrealloc_getcwd_or_warn,34
read_key,34
getopt32,34
make_human_readable_str,34
fflush_stdout_and_exit,34
sub_16D58,34
sub_958C,34
sub_161A8,34
init_cgi,34
junk,33
scantelnetip,33
sub_14534,33
StartTheCheats,33
findARandomcheater,33
sub_DDB4,33
daemon,33
sub_12424,33
buffer_copy_string_len,33
buffer_copy_string,33
buffer_append_string_len,33
read_config,33
printbig,33
sub_DE54,33
sub_DD14,33
xmalloc_sockaddr2host_noport,33
xsetgid,33
fopen_or_warn,33
get_linux_version_code,33
bb_info_msg,33
crc32_filltable,33
sub_EA28,33
sub_88C8,33
telnetrep,33
jprintf,33
makeSAHeader,33
sub_ECE4,32
HTTP,32
hold,32
str2binstr,32
configparser_merge_data,32
configparserFree,32
log_sys_write,32
http_request_parse,32
start_arpping_process,32
fdevent_get_handler,32
smbc_get_usbdisk_permission,32
splaytree_insert,32
array_init,32
smbc_wrapper_opensharedir,32
proc_open,32
buffer_append_string_encoded,32
save_sharelink_list,32
array_pop,32
array_set_key_value,32
status_counter_get_counter,32
is_dms_enabled,32
x123_encode,32
stop_arpping_process,32
data_string_init,32
array_replace,32
generate_sharelink,32
array_print,32
nvram_get_wan_ip,32
strftime_cache_get,32
log_error_open,32
fdevent_get_context,32
fdevent_event_get_fd,32
process_share_link_for_router_sync_use,32
connection_state_machine,32
configparser,32
config_insert_values_internal,32
network_write_chunkqueue_write,32
smbc_wrapper_response_401,32
smbc_parser_basic_authentication,32
http_response_write_header,32
fdevent_event_get_revent,32
proc_open_buffer,32
fdevent_poll,32
get_mac_address,32
array_print_indent,32
read_sharelink_list,32
smbc_wrapper_response_realm_401,32
response_header_insert,32
array_insert_unique,32
config_insert_values_global,32
read_data,32
sub_8048190,32
sub_EACC,32
findwritedir,32
issyspara,32
sub_8052DCF,32
buffer_append_string,32
sub_EA5C,32
xmalloc_follow_symlinks,32
xfopen_stdin,32
safe_poll,32
bb_displayroutes,32
fopen_for_read,32
print_signames,32
xgetpty,32
sanitize_env_if_suid,32
xfopen_for_read,32
find_mount_point,32
open_or_warn_stdin,32
fopen_or_warn_stdin,32
safe_gethostname,32
sub_109BC,32
sub_141EC,32
sub_96D8,32
sub_E658,32
sub_83FC,32
getexename,32
fflush,32
print_status,32
randstring,32
base64_decode2,31
sprint_hex,31
is_dms_ipk_enabled,31
sub_ECB4,31
get_if_addr,31
sub_440000,31
sub_8052D5B,31
sub_8050450,31
nvram_get_ddns_server_name,31
nvram_is_ddns_enable,31
xuname2uid,31
xatol_range,31
sub_407270,31
pw_encrypt,31
xfopen_for_write,31
update_passwd,31
host2sockaddr,31
xatoul_sfx,31
get_rand,31
